dataset, variable
SaCalm2002, Dal_04_12
SaCalm2002, Dal_04_13
SaCalm2002, Dal_04_14
SaCalm2002, Dal_04_15
SaCalm2002, Dal_05_01
SaCalm2002, Dal_05_02
SaCalm2002, Dal_05_03
SaCalm2002, Dal_05_04
SaCalm2002, Dal_05_05
SaCalm2002, Dal_05_06
SaCalm2002, Dal_05_07
SaCalm2002, Dal_05_08
SaCalm2002, Dal_05_09
SaCalm2002, Dal_05_10
SaCalm2002, Dal_05_11
SaCalm2002, Dal_05_12
SaCalm2002, Dal_05_13
SaCalm2002, Dal_05_14
SaCalm2002, Dal_05_15
SaCalm2002, Dal_06_01
SaCalm2002, Dal_06_02
SaCalm2002, Dal_06_03
SaCalm2002, Dal_06_04
SaCalm2002, Dal_06_05
SaCalm2002, Dal_06_06
SaCalm2002, Dal_06_07
SaCalm2002, Dal_06_08
SaCalm2002, Dal_06_09
SaCalm2002, Dal_06_10
SaCalm2002, Dal_06_11
SaCalm2002, Dal_06_12
SaCalm2002, Dal_06_13
SaCalm2002, Dal_06_14
SaCalm2002, Dal_06_15
SaCalm2002, Dal_07_01
SaCalm2002, Dal_07_02
SaCalm2002, Dal_07_03
SaCalm2002, Dal_07_04
SaCalm2002, Dal_07_05
SaCalm2002, Dal_07_06
SaCalm2002, Dal_07_07
SaCalm2002, Dal_07_08
SaCalm2002, Dal_07_09
SaCalm2002, Dal_07_10
SaCalm2002, Dal_07_11
SaCalm2002, Dal_07_12
SaCalm2002, Dal_07_13
SaCalm2002, Dal_07_14
SaCalm2002, Dal_07_15
SaCalm2002, Dal_08_01
SaCalm2002, Dal_08_02
SaCalm2002, Dal_08_03
SaCalm2002, Dal_08_04
SaCalm2002, Dal_08_05
SaCalm2002, Dal_08_06
SaCalm2002, Dal_08_07
SaCalm2002, Dal_08_08
SaCalm2002, Dal_08_09
SaCalm2002, Dal_08_10
SaCalm2002, Dal_08_11
SaCalm2002, Dal_08_12
SaCalm2002, Dal_08_13
SaCalm2002, Dal_08_14
SaCalm2002, Dal_08_15
SaCalm2002, Dal_09_01
SaCalm2002, Dal_09_02
SaCalm2002, Dal_09_03
SaCalm2002, Dal_09_04
SaCalm2002, Dal_09_05
SaCalm2002, Dal_09_06
SaCalm2002, Dal_09_07
SaCalm2002, Dal_09_08
SaCalm2002, Dal_09_09
SaCalm2002, Dal_09_10
SaCalm2002, Dal_09_11
SaCalm2002, Dal_09_12
SaCalm2002, Dal_09_13
SaCalm2002, Dal_09_14
SaCalm2002, Dal_09_15
SaCalm2002, Dal_10_01
SaCalm2002, Dal_10_02
SaCalm2002, Dal_10_03
SaCalm2002, Dal_10_04
SaCalm2002, Dal_10_05
SaCalm2002, Dal_10_06
SaCalm2002, Dal_10_07
SaCalm2002, Dal_10_08
SaCalm2002, Dal_10_09
SaCalm2002, Dal_10_10
SaCalm2002, Dal_10_11
SaCalm2002, Dal_10_12
SaCalm2002, Dal_10_13
SaCalm2002, Dal_10_14
SaCalm2002, Dal_10_15
TVCSoil2016, Ts_2
TVCSoil2016, Ts_5
TVCSoil2016, Ts_10
TVCSoil2016, Ts_20
TVCSoil2016, E2_h_2
TVCSoil2016, E2_h_5
TVCSoil2016, E2_h_10
TVCSoil2016, E2_h_20
TVCSoil2016, E2_v_0
TVCSoil2016, E2_a_v_0
TVCSoil2016, E2_b_v_0
TVCSoil2016, E2_sn_v_0
TVCSoil2016, vwc_h_2
TVCSoil2016, vwc_h_5
TVCSoil2016, vwc_h_10
TVCSoil2016, vwc_h_20
TVCSoil2016, vwc_v_0
TVCSoil2016, vwc_a_v_0
TVCSoil2016, vwc_b_v_0
TVCSoil2016, vwc_sn_v_0
TVCSoil2016, cond_h_2
TVCSoil2016, cond_h_5
TVCSoil2016, cond_h_10
TVCSoil2016, cond_h_20
TVCSoil2016, cond_v_0
TVCSoil2016, cond_a_v_0
TVCSoil2016, cond_b_v_0
TVCSoil2016, cond_sn_v_0
TVCSoil2016, batt_U_min
TVCSoil2016, Tpan_CR1000
TVCHole12015, Ts_4
TVCHole12015, Ts_20
TVCHole12015, Ts_117
TVCHole12015, Ts_217
TVCHole22015, Ts_4
TVCHole22015, Ts_27
TVCHole22015, Ts_118
TVCHole22015, Ts_218
TVCeccc, Tair
TVCeccc, Tdew
TVCeccc, RH
TVCeccc, prec
TVCeccc, wind_deg
TVCeccc, wind_v
TVCeccc, vis
TVCeccc, PA
TVCeccc, Hmdx
TVCeccc, chill
TVCeccc, Weather
